place,kind,zcta,city,latitude,longitude,zhvi,zori,date,label_dx,label_dy,note,hudSafmr,blendedRent,rentSource,hudFiscalYear
93110 Santa Barbara,zcta,93110,Santa Barbara,34.4395004,-119.7678272,1996303,,2023-01-31,10,0,Zillow ZIP-level market for Santa Barbara; mapped with Census 2020 ZCTA 93110 in Santa Barbara County.,,,,
93109 Santa Barbara,zcta,93109,Santa Barbara,34.4064082,-119.7269275,2346618,,2023-01-31,10,0,Zillow ZIP-level market for Santa Barbara; mapped with Census 2020 ZCTA 93109 in Santa Barbara County.,,,,
93108 Montecito,zcta,93108,Montecito,34.4489735,-119.6054267,4827520,,2023-01-31,10,0,Zillow ZIP-level market for Montecito; mapped with Census 2020 ZCTA 93108 in Santa Barbara County.,,,,
93463 Solvang,zcta,93463,Solvang,34.6064223,-120.1354308,1281859,,2023-01-31,10,0,Zillow ZIP-level market for Solvang; mapped with Census 2020 ZCTA 93463 in Santa Barbara County.,,,,
93434 Guadalupe,zcta,93434,Guadalupe,34.9402685,-120.62007,509207,,2023-01-31,10,0,Zillow ZIP-level market for Guadalupe; mapped with Census 2020 ZCTA 93434 in Santa Barbara County.,,,,
93460 Santa Ynez,zcta,93460,Santa Ynez,34.6733168,-119.7436158,1793816,,2023-01-31,10,0,Zillow ZIP-level market for Santa Ynez; mapped with Census 2020 ZCTA 93460 in Santa Barbara County.,,,,
93427 Buellton,zcta,93427,Buellton,34.6429587,-120.2391256,863825,,2023-01-31,10,0,Zillow ZIP-level market for Buellton; mapped with Census 2020 ZCTA 93427 in Santa Barbara County.,,,,
93440 Los Alamos,zcta,93440,Los Alamos,34.7686308,-120.2582595,829853,,2023-01-31,10,0,Zillow ZIP-level market for Los Alamos; mapped with Census 2020 ZCTA 93440 in Santa Barbara County.,,,,
93254 New Cuyama,zcta,93254,New Cuyama,34.9462184,-119.8028365,271150,,2023-01-31,10,0,Zillow ZIP-level market for New Cuyama; mapped with Census 2020 ZCTA 93254 in Santa Barbara County.,,,,
93441 Los Olivos,zcta,93441,Los Olivos,34.7331259,-120.0949687,1740801,,2023-01-31,10,0,Zillow ZIP-level market for Los Olivos; mapped with Census 2020 ZCTA 93441 in Santa Barbara County.,,,,
93067 Summerland,zcta,93067,Summerland,34.4231005,-119.596155,2532087,,2023-01-31,10,0,Zillow ZIP-level market for Summerland; mapped with Census 2020 ZCTA 93067 in Santa Barbara County.,,,,
93436 Lompoc,zcta,93436,Lompoc,34.5999257,-120.3765318,522447,2203,2023-02-28,10,0,Zillow ZIP-level market for Lompoc; mapped with Census 2020 ZCTA 93436 in Santa Barbara County.,,2203,Zillow ZORI,
93458 Santa Maria,zcta,93458,Santa Maria,34.953245,-120.492119,537909,2024,2023-02-28,10,0,Zillow ZIP-level market for Santa Maria; mapped with Census 2020 ZCTA 93458 in Santa Barbara County.,,2024,Zillow ZORI,
93117 Goleta,zcta,93117,Goleta,34.4794531,-120.0840941,1445490,3530,2023-02-28,10,0,Zillow ZIP-level market for Goleta; mapped with Census 2020 ZCTA 93117 in Santa Barbara County.,,3530,Zillow ZORI,
93455 Santa Maria,zcta,93455,Santa Maria,34.8483142,-120.4828831,649368,2621,2023-02-28,10,0,Zillow ZIP-level market for Santa Maria; mapped with Census 2020 ZCTA 93455 in Santa Barbara County.,,2621,Zillow ZORI,
93454 Santa Maria,zcta,93454,Santa Maria,34.9230125,-120.2594631,563417,,2023-02-28,10,0,Zillow ZIP-level market for Santa Maria; mapped with Census 2020 ZCTA 93454 in Santa Barbara County.,,,,
93101 Santa Barbara,zcta,93101,Santa Barbara,34.4192588,-119.7080491,1444121,3001,2023-02-28,10,0,Zillow ZIP-level market for Santa Barbara; mapped with Census 2020 ZCTA 93101 in Santa Barbara County.,,3001,Zillow ZORI,
93105 Santa Barbara,zcta,93105,Santa Barbara,34.5290403,-119.7678947,1923074,3939,2023-02-28,10,0,Zillow ZIP-level market for Santa Barbara; mapped with Census 2020 ZCTA 93105 in Santa Barbara County.,,3939,Zillow ZORI,
93103 Santa Barbara,zcta,93103,Santa Barbara,34.437367,-119.679284,1771225,3588,2023-02-28,10,0,Zillow ZIP-level market for Santa Barbara; mapped with Census 2020 ZCTA 93103 in Santa Barbara County.,,3588,Zillow ZORI,
93111 Santa Barbara,zcta,93111,Santa Barbara,34.4491845,-119.804782,1625041,,2023-02-28,10,0,Zillow ZIP-level market for Santa Barbara; mapped with Census 2020 ZCTA 93111 in Santa Barbara County.,,,,
93013 Carpinteria,zcta,93013,Carpinteria,34.4401328,-119.5033056,1552651,,2023-02-28,10,0,Zillow ZIP-level market for Carpinteria; mapped with Census 2020 ZCTA 93013 in Santa Barbara County.,,,,
93110 Santa Barbara,zcta,93110,Santa Barbara,34.4395004,-119.7678272,1979711,,2023-02-28,10,0,Zillow ZIP-level market for Santa Barbara; mapped with Census 2020 ZCTA 93110 in Santa Barbara County.,,,,
